dataset,energy_reduction_vs_no_cache_pct,engine,engine_gpu_joules_per_request,engine_idle_adjusted_joules_per_request,engine_mean_latency_ms,engine_p95_latency_ms,fast_exact_path_hits,hit_rate,idle_adjusted_energy_reduction_vs_no_cache_pct,model,no_cache_gpu_joules_per_request,no_cache_idle_adjusted_joules_per_request,no_cache_mean_latency_ms,no_cache_p95_latency_ms,policy_exact_total,policy_semantic_partial_total,prompt_mode,reuse_successes,reused_prefix_tokens_total,seed,semantic_blocked_by_backend_total,semantic_opportunity_plans_total,semantic_partial_hits,semantic_partial_reused_tokens_total,semantic_quality_divergence_events,semantic_quality_divergence_sum,source_json,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,wasted_compute_ratio
ag_news,-1.3228311390381604,shadow_kv,92.1443125,81.6530298020394,131.54016331463936,135.608319495077,,0.0,2.6891612534739577,Qwen/Qwen2.5-32B-Instruct,90.9413125,83.90949133089697,131.47907506117917,136.08825074334163,,,semantic,0,0,42,,,,,,,results_smoke_qwen32b_longprefix_smoke_patched_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_ag_news_semantic_cuda.json,0.9995355923854674,1.003539098855082,0.0
ag_news,9.3918399297349,shadow_kv_plus,82.40025,73.16524605122191,119.89219150018471,141.28416324820137,15,0.9375,12.804564905899785,Qwen/Qwen2.5-32B-Instruct,90.9413125,83.90949133089697,131.47907506117917,136.08825074334163,15,0,semantic,15,1920,42,0,0,0,0,0,0.0,results_smoke_qwen32b_longprefix_smoke_patched_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_ag_news_semantic_cuda.json,1.0966441885498157,0.9632236735851859,0.0
