model,dataset,engine,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,energy_reduction_vs_no_cache_pct,idle_adjusted_energy_reduction_vs_no_cache_pct,hit_rate,reuse_successes,reused_prefix_tokens_total,wasted_compute_ratio
Qwen/Qwen2.5-3B-Instruct,ultrachat,shadow_kv,0.9991757831007744,0.9988786994305302,-0.3924747683314231,0.8561238153767454,0.0,0,0,0.0
Qwen/Qwen2.5-3B-Instruct,ultrachat,shadow_kv_plus,0.9637864417283062,0.8858357027042542,-0.4042048228199331,1.0483329785360214,0.9921875,127,16256,0.0
Qwen/Qwen2.5-3B-Instruct,xsum,shadow_kv,1.002162168848017,0.9940519888756234,-4.424482763501948,-4.638559619552086,0.0,0,0,0.0
Qwen/Qwen2.5-3B-Instruct,xsum,shadow_kv_plus,0.8938600888535138,0.8237187615438084,-2.230239250317997,-0.9599510493073165,0.9921875,127,16256,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ag_news,shadow_kv,0.9980453886017242,1.0002469163149366,-3.306488378231061,-4.230812298992778,0.0,0,0,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ag_news,shadow_kv_plus,0.8623472173299911,0.8800143698034866,-4.175935860038321,-4.660155239263344,0.9921875,127,16256,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alpaca_eval,shadow_kv,0.994507809825812,0.972799706637708,-2.4439168061448155,-5.12227205053322,0.0,0,0,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alpaca_eval,shadow_kv_plus,0.8568554600608062,0.8642376094563539,-1.6546218087613824,1.0444199165781634,0.9921875,127,16256,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,banking77,shadow_kv,0.9887155708847132,0.9909902551928697,-1.098748836016433,-1.181592371032517,0.0,0,0,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,banking77,shadow_kv_plus,0.861742360887099,0.8778506365439653,-1.1236206472178694,0.5492037468352055,0.9921875,127,16256,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cnn_dailymail,shadow_kv,0.9953577370612992,1.0196632566939705,-2.802759755436302,-1.7652018306628268,0.0,0,0,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cnn_dailymail,shadow_kv_plus,0.7924419606974601,0.8624727528936779,-13.92635186737986,-18.78392485957633,0.9921875,127,16256,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,daily_dialog,shadow_kv,0.9958060418593776,1.0108842546019854,-0.2308537531537463,-3.788112947324112,0.0,0,0,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,daily_dialog,shadow_kv_plus,0.8256227880403865,0.8551310533296663,-4.576667376009255,-3.586535551117894,0.9921875,127,16256,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,dolly,shadow_kv,1.0100632199971662,1.0003053385264942,-0.90608236701028,-0.9799817874172608,0.0,0,0,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,dolly,shadow_kv_plus,0.8759836335385842,0.8781836966723702,-1.734981802091563,-8.708349039789265,0.9921875,127,16256,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,oasst1,shadow_kv,1.0000035379147862,1.005795111526799,-1.786761125322333,-3.904231325329601,0.0,0,0,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,oasst1,shadow_kv_plus,0.8420864917141374,0.8367653576991122,-3.554009771644091,-4.913672137035632,0.9921875,127,16256,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,samsum,shadow_kv,1.005873595336293,0.978886674156204,-3.492623349516081,-5.688471403277265,0.0,0,0,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,samsum,shadow_kv_plus,0.8376737271661833,0.8259263562220741,-10.273864629759675,-12.884412197325174,0.9921875,127,16256,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ultrachat,shadow_kv,1.003589260147705,1.0068445825829648,-2.1536877012317546,-4.805710735151635,0.0,0,0,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ultrachat,shadow_kv_plus,0.7956388825829853,0.8180382563332854,-9.595170513884849,-11.59147418256893,0.9921875,127,16256,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,xsum,shadow_kv,1.017992149610368,1.0256430785809163,-0.4849291113030304,1.2251744564269222,0.0,0,0,0.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,xsum,shadow_kv_plus,0.8091013959126234,0.8182727540770925,-11.282878124777282,-11.661928894912414,0.9921875,127,16256,0.0
google/gemma-4-12B-it,ag_news,shadow_kv,0.9986648481741875,0.9971185571803464,-0.4629823767457425,0.1553855808483089,0.0,0,0,0.0
google/gemma-4-12B-it,ag_news,shadow_kv_plus,1.0690743365677182,1.064751844459038,10.493859050867677,12.56390457106143,0.9921875,127,16256,0.0
google/gemma-4-12B-it,alpaca_eval,shadow_kv,1.00250914538121,1.001661263028737,-0.2173595588603073,-0.6019609602469386,0.0,0,0,0.0
google/gemma-4-12B-it,alpaca_eval,shadow_kv_plus,1.0790835511283638,1.0675714624065835,12.967683071741126,14.318609885105198,0.9921875,127,16256,0.0
google/gemma-4-12B-it,banking77,shadow_kv,0.9997027448108122,0.998398381832382,-0.9491624056599128,-0.9888556984807254,0.0,0,0,0.0
google/gemma-4-12B-it,banking77,shadow_kv_plus,1.075034652588755,1.0718703615459824,13.34774089123384,15.191404935009752,0.9921875,127,16256,0.0
google/gemma-4-12B-it,cnn_dailymail,shadow_kv,0.9978068513047436,0.9971427335506378,-0.4763125101887038,0.1916373957263393,0.0,0,0,0.0
google/gemma-4-12B-it,cnn_dailymail,shadow_kv_plus,2.332520458347732,2.455435900835893,61.24369452633769,65.52572869208531,0.9921875,127,16256,0.0
google/gemma-4-12B-it,daily_dialog,shadow_kv,0.9993203547563624,0.995101538877856,-3.661709566768032,-4.793875790735658,0.0,0,0,0.0
google/gemma-4-12B-it,daily_dialog,shadow_kv_plus,1.1176545507845692,1.229694892787007,14.345739385939977,15.80909413876785,0.9921875,127,16256,0.0
google/gemma-4-12B-it,dolly,shadow_kv,0.9989554394285582,1.0024215117869344,0.9244859330963828,1.6932916819786603,0.0,0,0,0.0
google/gemma-4-12B-it,dolly,shadow_kv_plus,1.1235695201242213,1.25948459313087,15.450455747194017,17.43403448987834,0.9921875,127,16256,0.0
google/gemma-4-12B-it,oasst1,shadow_kv,1.0000435864549015,0.9963721623732564,0.1582178214731054,-0.0954791824396416,0.0,0,0,0.0
google/gemma-4-12B-it,oasst1,shadow_kv_plus,1.1353677091084633,1.2867679134699177,16.11919169532027,17.659290106562693,0.9921875,127,16256,0.0
google/gemma-4-12B-it,samsum,shadow_kv,0.9982127932411596,0.9947056106104364,-0.2723846473359622,0.2892789136666323,0.0,0,0,0.0
google/gemma-4-12B-it,samsum,shadow_kv_plus,1.413565345522863,1.7383464428877833,34.24853320602844,37.46741889654406,0.9921875,127,16256,0.0
google/gemma-4-12B-it,ultrachat,shadow_kv,0.9992979325561872,0.9962759484049952,0.0739159698738925,-0.2291148300260493,0.0,0,0,0.0
google/gemma-4-12B-it,ultrachat,shadow_kv_plus,1.8653544356416187,1.91438720720409,48.56975798119561,51.98706735445671,0.9921875,127,16256,0.0
google/gemma-4-12B-it,xsum,shadow_kv,0.9994489219222028,0.9971609937617226,-0.5986172374837343,-0.5333434167667181,0.0,0,0,0.0
google/gemma-4-12B-it,xsum,shadow_kv_plus,2.090717685025044,2.2290124667195306,56.73924077346404,60.69124472247749,0.9921875,127,16256,0.0
google/gemma-4-E2B-it,ag_news,shadow_kv,0.9949747278261064,0.9885509707232792,-0.5418728894146977,1.9592306252223468,0.0,0,0,0.0
google/gemma-4-E2B-it,ag_news,shadow_kv_plus,1.094816942393381,1.0726640364786806,13.955274310573328,19.52987302629261,0.9921875,127,16256,0.0
google/gemma-4-E2B-it,alpaca_eval,shadow_kv,1.0030996242458723,1.0099323200056989,1.4549894520669513,1.9199920758764348,0.0,0,0,0.0
google/gemma-4-E2B-it,alpaca_eval,shadow_kv_plus,1.0932684727382644,1.0656512002283582,14.844023645047828,18.299376545830395,0.9921875,127,16256,0.0
