backend,backend_reuse_latency_total_ms,bypassed_matches,dataset,device,dtype,early_layer_attempts,early_layer_hits,energy_source,engine,fast_exact_path_hits,gpu_energy_j,gpu_joules_per_request,gpu_joules_per_total_token,hit_rate,idle_adjusted_gpu_energy_j,idle_adjusted_joules_per_request,logit_guard_attempts,logit_guard_hits,mean_latency_ms,model,n_requests,p50_latency_ms,p95_latency_ms,p99_latency_ms,policy_bypass_total,policy_exact_total,policy_plans_total,policy_semantic_partial_total,prompt_mode,recompute_tokens_total,reuse_attempts,reuse_successes,reused_prefix_tokens_total,scaffold_bypass_store_successes,scaffold_only_attempts,scaffold_only_hits,seed,semantic_blocked_by_backend_total,semantic_matches_total,semantic_opportunity_estimated_savings_ms,semantic_opportunity_plans_total,semantic_opportunity_reused_tokens_total,semantic_partial_hits,semantic_partial_reused_tokens_total,semantic_quality_divergence_events,semantic_quality_divergence_sum,semantic_queries_total,semantic_scaffold_store_successes,service_throughput_rps,source_json,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,throughput_rps,wasted_compute_ratio
hf,0.0,0,ag_news,cuda,float16,,,nvml,no_cache,,11758.063,91.8598671875,0.16451746187211416,0.0,10821.46848177978,84.54272251390454,,,132.69489858555517,Qwen/Qwen2.5-32B-Instruct,128,132.02410999656422,137.3865295012365,138.36702727800002,,,,,semantic,71470,0,0,0,,,,42,,,,,,,,,,,,7.536084737690568,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/ag_news/no_cache/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_ag_news_semantic_cuda.json,1.0,1.0,5.33243415384326,0.0
hf,0.0,0,ag_news,cuda,float16,,,nvml,shadow_kv,,11917.787,93.1077109375,0.1667523016650343,0.0,10556.86559776829,82.47551248256477,,,133.49815763444894,Qwen/Qwen2.5-32B-Instruct,128,132.91068599937716,138.34012549632462,139.4976198412769,,,,,semantic,71470,0,0,0,,,,42,,,,,,,,,,,,7.490740080011051,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_ag_news_semantic_cuda.json,,,5.444761057824098,0.0
hf,14946.280696080066,0,ag_news,cuda,float16,0,0,nvml,shadow_kv_plus,127,10313.309,80.5727265625,0.14430263047432487,0.9921875,9057.740450563284,70.76359727002566,,,117.70627185933336,Qwen/Qwen2.5-32B-Instruct,128,117.02667051577009,119.38939674946596,131.86591578851227,1,127,128,0,semantic,55214,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,8.495724010314973,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_ag_news_semantic_cuda.json,,,5.952460847780588,0.0
hf,0.0,0,alpaca_eval,cuda,float16,,,nvml,no_cache,,11818.386,92.331140625,0.1729654899894626,0.0,10554.007436448386,82.45318309725302,,,132.10069526667212,Qwen/Qwen2.5-32B-Instruct,128,131.48472899774788,137.2033280051255,139.12205774933682,,,,,semantic,68328,0,0,0,,,,42,,,,,,,,,,,,7.569982867851654,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/alpaca_eval/no_cache/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_alpaca_eval_semantic_cuda.json,1.0,1.0,5.445831935089483,0.0
hf,0.0,0,alpaca_eval,cuda,float16,,,nvml,shadow_kv,,11765.053,91.9144765625,0.17218494614213792,0.0,10429.987100034214,81.4842742190173,,,132.23972356126978,Qwen/Qwen2.5-32B-Instruct,128,131.4826654997887,137.41727049418841,139.4971257133875,,,,,semantic,68328,0,0,0,,,,42,,,,,,,,,,,,7.562024277347165,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/alpaca_eval/shadow_kv/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_alpaca_eval_semantic_cuda.json,,,5.445930627547745,0.0
hf,14773.242664028658,0,alpaca_eval,cuda,float16,0,0,nvml,shadow_kv_plus,127,10194.852,79.64728125,0.14920460133473834,0.9921875,9074.876762634362,70.89747470808095,,,116.34831283618041,Qwen/Qwen2.5-32B-Instruct,128,115.99144550564233,118.71515290404204,129.56073049761477,1,127,128,0,semantic,52072,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,8.59488183045688,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/alpaca_eval/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_alpaca_eval_semantic_cuda.json,,,5.952413791688128,0.0
hf,0.0,0,banking77,cuda,float16,,,nvml,no_cache,,11794.377,92.1435703125,0.17412529711375213,0.0,10568.934599803422,82.56980156096424,,,132.26444174995322,Qwen/Qwen2.5-32B-Instruct,128,131.47475400182884,137.31183905765647,138.37318393358146,,,,,semantic,67735,0,0,0,,,,42,,,,,,,,,,,,7.560611051385273,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/banking77/no_cache/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_banking77_semantic_cuda.json,1.0,1.0,5.4458273398682735,0.0
hf,0.0,0,banking77,cuda,float16,,,nvml,shadow_kv,,11768.5,91.94140625,0.17374326419133387,0.0,10430.492443746094,81.48822221676636,,,132.4189346954654,Qwen/Qwen2.5-32B-Instruct,128,131.60636399697978,137.08079855205142,138.2911476062145,,,,,semantic,67735,0,0,0,,,,42,,,,,,,,,,,,7.551790099352343,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/banking77/shadow_kv/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_banking77_semantic_cuda.json,,,5.445876470197844,0.0
hf,14829.312709989608,0,banking77,cuda,float16,0,0,nvml,shadow_kv_plus,127,10218.81,79.834453125,0.15086454565586477,0.9921875,9026.49438297907,70.51948736702398,,,116.79100667151943,Qwen/Qwen2.5-32B-Instruct,128,116.17749348806683,118.35462363742408,129.52252428571234,1,127,128,0,semantic,51479,127,127,16256,1,0,0,42,0,255,0.0,0,0,0,0,0,0.0,128,0,8.562303113051764,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/banking77/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_banking77_semantic_cuda.json,,,5.9525420779265525,0.0
hf,0.0,0,cnn_dailymail,cuda,float16,,,nvml,no_cache,,17116.849,133.7253828125,0.15258514516977328,0.0,15451.102955913611,120.71174184307509,,,198.9534886176898,Qwen/Qwen2.5-32B-Instruct,128,196.70025049708784,210.80771665510838,215.70167158235563,,,,,semantic,112179,0,0,0,,,,42,,,,,,,,,,,,5.026300402912793,results_blackwell_semantic_qwen32b_longprefix_n128_clean_20260711/Qwen_Qwen2_5-32B-Instruct/semantic/seed_42/cnn_dailymail/no_cache/benchmark_hf_Qwen_Qwen2.5-32B-Instruct_public_dataset_cnn_dailymail_semantic_cuda.json,1.0,1.0,3.9993504497452657,0.0
