model,engine,speedup_vs_no_cache_mean_mean,speedup_vs_no_cache_mean_min,speedup_vs_no_cache_mean_max,speedup_vs_no_cache_p95_mean,speedup_vs_no_cache_p95_min,speedup_vs_no_cache_p95_max,energy_reduction_vs_no_cache_pct_mean,energy_reduction_vs_no_cache_pct_min,energy_reduction_vs_no_cache_pct_max,idle_adjusted_energy_reduction_vs_no_cache_pct_mean,idle_adjusted_energy_reduction_vs_no_cache_pct_min,idle_adjusted_energy_reduction_vs_no_cache_pct_max,hit_rate_mean,hit_rate_min,hit_rate_max,reuse_successes_mean,reuse_successes_min,reuse_successes_max,reused_prefix_tokens_total_mean,reused_prefix_tokens_total_min,reused_prefix_tokens_total_max,wasted_compute_ratio_mean,wasted_compute_ratio_min,wasted_compute_ratio_max
Qwen/Qwen2.5-14B-Instruct,shadow_kv,1.000051615158816,0.9969420426686368,1.0020373166532932,0.9996479021309271,0.9937263496053924,1.003118792904566,-0.14417454665255333,-3.041287135072449,1.438923569134471,0.5196661684826703,-2.5633284855501737,4.889486389367141,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0
Qwen/Qwen2.5-14B-Instruct,shadow_kv_plus,1.045888147473448,0.9868504094112752,1.0874413161865035,1.0094273163900618,0.9325469442419236,1.0964598696673953,8.571386773973849,2.087920759725547,12.162527148278611,10.466174221369824,4.072960123522364,17.911227320560705,0.9921875,0.9921875,0.9921875,127.0,127,127,16256.0,16256,16256,0.0,0.0,0.0
