dataset,energy_reduction_vs_no_cache_pct,engine,engine_gpu_joules_per_request,engine_idle_adjusted_joules_per_request,engine_mean_latency_ms,engine_p95_latency_ms,fast_exact_path_hits,hit_rate,idle_adjusted_energy_reduction_vs_no_cache_pct,model,no_cache_gpu_joules_per_request,no_cache_idle_adjusted_joules_per_request,no_cache_mean_latency_ms,no_cache_p95_latency_ms,policy_exact_total,policy_semantic_partial_total,prompt_mode,reuse_successes,reused_prefix_tokens_total,seed,semantic_blocked_by_backend_total,semantic_opportunity_plans_total,semantic_partial_hits,semantic_partial_reused_tokens_total,semantic_quality_divergence_events,semantic_quality_divergence_sum,source_json,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,wasted_compute_ratio
dolly,-0.8976018749937551,shadow_kv,11.0449609375,6.788593125799541,11.982996843826754,14.692020149914242,,0.0,-2.89877975420315,Qwen/Qwen2.5-1.5B-Instruct,10.946703125,6.597350466172311,12.001556453128615,14.787110750103237,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/dolly/shadow_kv/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_dolly_semantic_cuda.json,1.00154882868983,1.0064722617596975,0.0
dolly,1.6240620392269993,shadow_kv_plus,10.768921875,6.377778232593045,13.763000710980577,15.77044875020874,127,0.9921875,3.328188106803098,Qwen/Qwen2.5-1.5B-Instruct,10.946703125,6.597350466172311,12.001556453128615,14.787110750103237,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/dolly/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_dolly_semantic_cuda.json,0.8720159727633652,0.9376467965065047,0.0
oasst1,-1.3675921505989554,shadow_kv,11.2646875,5.81469744366552,12.122317015638373,14.788361350156265,,0.0,15.265819091320335,Qwen/Qwen2.5-1.5B-Instruct,11.1127109375,6.862280819038279,12.308857335924017,14.838488650138968,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/oasst1/shadow_kv/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_semantic_cuda.json,1.0153881737332062,1.0033896453295803,0.0
oasst1,1.6006445321974205,shadow_kv_plus,10.9348359375,6.532846201425463,14.022296804711232,16.33405480065448,127,0.9921875,4.800657773999183,Qwen/Qwen2.5-1.5B-Instruct,11.1127109375,6.862280819038279,12.308857335924017,14.838488650138968,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/oasst1/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_semantic_cuda.json,0.877806076090792,0.9084387698726474,0.0
samsum,-0.5554516410386198,shadow_kv,11.4659375,6.850938257823877,12.731660195200334,15.061481800285037,,0.0,0.6098768423231762,Qwen/Qwen2.5-1.5B-Instruct,11.4026015625,6.892976927853535,12.769918093674448,15.043453049838718,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/samsum/shadow_kv/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_samsum_semantic_cuda.json,1.0030049418447828,0.9988029895938939,0.0
samsum,0.8021743941383893,shadow_kv_plus,11.3111328125,6.575672284237582,14.471579609448781,17.592196200394028,127,0.9921875,4.603303433872972,Qwen/Qwen2.5-1.5B-Instruct,11.4026015625,6.892976927853535,12.769918093674448,15.043453049838718,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/samsum/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_samsum_semantic_cuda.json,0.8824135608069154,0.8551208091632002,0.0
ultrachat,-2.523864990265123,shadow_kv,13.2303203125,8.79291261253844,14.399769695245368,15.067748000001302,,0.0,-7.604824444449409,Qwen/Qwen2.5-1.5B-Instruct,12.904625,8.171485486766208,14.585580804642007,15.241753249983958,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/ultrachat/shadow_kv/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_semantic_cuda.json,1.0129037556383969,1.0115481922038145,0.0
ultrachat,-0.39230120983755934,shadow_kv_plus,12.95525,8.128814388103411,16.793475804661284,17.86249680058063,127,0.9921875,0.5221951226848974,Qwen/Qwen2.5-1.5B-Instruct,12.904625,8.171485486766208,14.585580804642007,15.241753249983958,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/ultrachat/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ultrachat_semantic_cuda.json,0.8685266215463006,0.8532823501745017,0.0
xsum,-0.9579391526429526,shadow_kv,13.0511640625,8.323977990656388,14.406876421837467,15.699465400075496,,0.0,0.47752411994632576,Qwen/Qwen2.5-1.5B-Instruct,12.927328125,8.363917715118543,14.442468882769788,15.548856600162253,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/xsum/shadow_kv/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_xsum_semantic_cuda.json,1.0024705189306942,0.9904067561490012,0.0
xsum,-2.6454374151657816,shadow_kv_plus,13.2693125,8.491100291997277,17.032704062515336,18.735586049206177,127,0.9921875,-1.5206100921920882,Qwen/Qwen2.5-1.5B-Instruct,12.927328125,8.363917715118543,14.442468882769788,15.548856600162253,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/xsum/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_xsum_semantic_cuda.json,0.8479257802966237,0.8299103406386936,0.0
ag_news,4.6119410705301025,shadow_kv,15.84790625,11.651664817923201,19.386183328123252,19.948727799874177,,0.0,5.747490528798809,Qwen/Qwen2.5-3B-Instruct,16.614140625,12.36217993907458,19.401892492240336,19.8878480995063,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_ag_news_semantic_cuda.json,1.000810327842835,0.9969481913343736,0.0
ag_news,9.378400364900015,shadow_kv_plus,15.056,10.859875108828255,19.431446453133105,20.09130710007412,127,0.9921875,12.15242649476258,Qwen/Qwen2.5-3B-Instruct,16.614140625,12.36217993907458,19.401892492240336,19.8878480995063,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_seven_models_longprefix_n128_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_ag_news_semantic_cuda.json,0.9984790653148724,0.9898732820341456,0.0
