model,engine,speedup_vs_no_cache_mean_mean,speedup_vs_no_cache_mean_min,speedup_vs_no_cache_mean_max,speedup_vs_no_cache_p95_mean,speedup_vs_no_cache_p95_min,speedup_vs_no_cache_p95_max,energy_reduction_vs_no_cache_pct_mean,energy_reduction_vs_no_cache_pct_min,energy_reduction_vs_no_cache_pct_max,idle_adjusted_energy_reduction_vs_no_cache_pct_mean,idle_adjusted_energy_reduction_vs_no_cache_pct_min,idle_adjusted_energy_reduction_vs_no_cache_pct_max,hit_rate_mean,hit_rate_min,hit_rate_max,reuse_successes_mean,reuse_successes_min,reuse_successes_max,reused_prefix_tokens_total_mean,reused_prefix_tokens_total_min,reused_prefix_tokens_total_max,wasted_compute_ratio_mean,wasted_compute_ratio_min,wasted_compute_ratio_max
Qwen/Qwen2.5-7B-Instruct,shadow_kv,1.0000485855274737,0.9981619648557508,1.001758463667555,1.0000580762426978,0.9942085712153446,1.006576622870993,-0.49562999884056635,-3.773641069687191,1.0956258676296522,0.7011735802865486,-3.936810801670328,8.720901148078084,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,shadow_kv_plus,1.0194379694284166,0.9920541254032916,1.0400633709422915,1.0114779111134091,0.9711906606986388,1.0314987176798869,6.868963624216437,3.220091032007676,12.367340115079474,10.546033665866135,3.0238965042792776,28.881008633078192,0.9921875,0.9921875,0.9921875,127.0,127,127,16256.0,16256,16256,0.0,0.0,0.0
google/gemma-4-12B-it,shadow_kv,0.9997040899968642,0.9982668961848256,1.0008256923793457,0.9998411919064628,0.9983265680988264,1.0056970814262838,-0.4194063429829322,-1.2278667042134872,0.7717452153657709,-0.4532530808267886,-1.879699420709292,1.38005607164846,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0
google/gemma-4-12B-it,shadow_kv_plus,1.4330234797141728,1.0728478165193769,2.330968166083347,1.5388179004067788,1.0678226284451822,2.470884967848292,28.612578065410823,11.62814002115908,60.58272357980104,31.038804502746984,12.820396597748836,64.22488683904666,0.9921875,0.9921875,0.9921875,127.0,127,127,16256.0,16256,16256,0.0,0.0,0.0
