group,n_rows,speedup_mean,speedup_ci95_low,speedup_ci95_high,p95_speedup_mean,mean_latency_ms,p95_latency_ms,waste_ratio_mean,hit_rate_mean
frequency_speculative,898,1.2075961042480616,1.1908008562623622,1.224391352233761,1.2091179972029407,97.90181252048214,144.1114024229512,0.284024348325589,0.6168221046770601
greedy_prefix_cache,898,1.2208965523283848,1.2033970922501787,1.238396012406591,1.1842100933451465,98.40692035901564,148.0545151810474,0.0,0.3201559020044543
no_cache,898,1.0,1.0,1.0,1.0,112.92249311951471,166.07817468408172,0.0,0.0
reactive_prefix_cache,898,1.2139103159558182,1.1984304224214009,1.2293902094902356,1.1342403950837099,97.73743289937703,148.66975541836746,0.0,0.31719793986636974
shadow_kv,898,1.2867855621703164,1.2679385928750242,1.3056325314656085,1.3178138727872055,93.37088946638744,138.58339780888582,0.26363639502113007,0.6058428452115813
shadow_kv_plus,898,1.3652174709885452,1.342093114048584,1.3883418279285065,1.5412400709503764,90.80999127469703,128.66973150399946,0.1556356132252748,0.40247424832962136
shadow_kv_plus_best_latency,898,1.3306021219016528,1.3072345667628882,1.3539696770404175,1.4547666037281155,92.7904460518997,135.93972693691586,0.22791453000370868,0.4995476057906459
shadow_kv_plus_early_layer,150,1.0795186465375308,1.0528022164652793,1.1062350766097824,0.9248106124705483,144.618955052174,206.9261669421685,0.0,0.0
shadow_kv_plus_logit_guard,150,1.085525730940394,1.056221806356281,1.1148296555245072,0.9221079896613428,144.70763829802308,207.5851136551161,0.0,0.0
shadow_kv_plus_raw_observer,898,1.3560560720791934,1.3332533944833853,1.3788587496750015,1.5137501228917993,91.43527238974434,130.7150875941045,0.15766377719766203,0.4043708240534521
shadow_kv_plus_scaffold_only,150,1.0807272935339218,1.054931644013492,1.1065229430543517,0.9246307847171846,144.57658122651387,206.95535716272812,0.0,0.0
strict_reactive_prefix_cache,898,1.2542705196525545,1.2355152792720743,1.2730257600330348,1.2778678616447325,96.53693570643324,140.28827924094824,0.0,0.3098900334075724
