"model_instance","model","dataset","engine","speedup_vs_no_cache_mean","speedup_vs_no_cache_p95","energy_reduction_vs_no_cache_pct","idle_adjusted_energy_reduction_vs_no_cache_pct","hit_rate","reuse_successes","reused_prefix_tokens_total","wasted_compute_ratio","seeds"
"google_gemma-4-26B-A4B-it","google/gemma-4-26B-A4B-it","daily_dialog","shadow_kv","1.01852243242463","1.00273220764772","0.982203228851976","2.50501121517305","","","","","42;123;456;789;999"
"google_gemma-4-26B-A4B-it","google/gemma-4-26B-A4B-it","daily_dialog","shadow_kv_plus","1.07470402244378","1.13260349641882","12.0926079949566","14.3254560041401","0.9921875","127","16256","","42;123;456;789;999"
"google_gemma-4-26B-A4B-it","google/gemma-4-26B-A4B-it","dolly","shadow_kv","0.998899663817974","0.976961156265586","0.776363406711406","-1.34320384213723","","","","","42;123;456;789;999"
"google_gemma-4-26B-A4B-it","google/gemma-4-26B-A4B-it","dolly","shadow_kv_plus","1.0444757730225","1.13423108639697","13.2865270223727","10.5296068129238","0.9921875","127","16256","","42;123;456;789;999"
"google_gemma-4-26B-A4B-it","google/gemma-4-26B-A4B-it","oasst1","shadow_kv","0.987830950912845","0.96211471949908","0.0969243008614779","2.95492028082405","","","","","42;123;456;789;999"
"google_gemma-4-26B-A4B-it","google/gemma-4-26B-A4B-it","oasst1","shadow_kv_plus","1.06330257253064","1.12816200804589","12.6974839752678","11.8657034526233","0.9921875","127","16256","","42;123;456;789;999"
"google_gemma-4-26B-A4B-it","google/gemma-4-26B-A4B-it","samsum","shadow_kv","0.991951819279064","0.977010023302278","-1.26081408479488","0.0812565280038711","","","","","42;123;456;789;999"
"google_gemma-4-26B-A4B-it","google/gemma-4-26B-A4B-it","samsum","shadow_kv_plus","1.19541378861685","1.26070615725841","20.8284462821226","21.1101906987789","0.9921875","127","16256","","42;123;456;789;999"
"google_gemma-4-26B-A4B-it","google/gemma-4-26B-A4B-it","ultrachat","shadow_kv","0.962722029026784","0.981204547043234","-0.63363686283585","-4.10661686499868","","","","","42;123;456;789;999"
"google_gemma-4-26B-A4B-it","google/gemma-4-26B-A4B-it","ultrachat","shadow_kv_plus","1.32041835428004","1.35546228369763","35.8980993728984","41.6911649444381","0.9921875","127","16256","","42;123;456;789;999"
"google_gemma-4-26B-A4B-it","google/gemma-4-26B-A4B-it","xsum","shadow_kv","0.998994891080425","1.01593165003392","-0.0589122072074105","2.3788214611032","","","","","42;123;456;789;999"
"google_gemma-4-26B-A4B-it","google/gemma-4-26B-A4B-it","xsum","shadow_kv_plus","1.5107327904213","1.49252394599437","42.9883414163636","49.616701920262","0.9921875","127","16256","","42;123;456;789;999"
"google_gemma-4-31B-it","google/gemma-4-31B-it","ag_news","shadow_kv","1.01403897779195","0.993184709205699","-0.972011135881139","2.50985369625409","","","","","42;123;456;789;999"
"google_gemma-4-31B-it","google/gemma-4-31B-it","ag_news","shadow_kv_plus","1.1298037399548","1.15531431385333","13.2630171926093","17.4146719502676","0.9921875","127","16256","","42;123;456;789;999"
"google_gemma-4-31B-it","google/gemma-4-31B-it","alpaca_eval","shadow_kv","0.995320902662753","0.980216110601202","-1.31611431305018","3.85353989470579","","","","","42;123;456;789;999"
"google_gemma-4-31B-it","google/gemma-4-31B-it","alpaca_eval","shadow_kv_plus","1.13321628672762","1.12597443200431","15.5382201995788","18.2027209959534","0.9921875","127","16256","","42;123;456;789;999"
