engine,model,mode,seed,dataset,latency_ms,speedup,hit_rate,waste
no_cache,Gemma-2B,semantic,42,xsum,320.07,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,ag_news,112.93,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,alpaca_eval,79.05,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,banking77,82.47,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,cnn_dailymail,379.15,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,daily_dialog,130.02,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,dolly,129.09,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,oasst1,154.61,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,samsum,184.26,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,ultrachat,302.07,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,123,xsum,330.91,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,ag_news,104.78,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,alpaca_eval,80.32,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,banking77,80.78,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,cnn_dailymail,376.9,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,daily_dialog,141.78,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,dolly,115.22,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,oasst1,138.74,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,samsum,176.44,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,ultrachat,303.98,1.0,0.0,0.0
no_cache,Gemma-2B,semantic,456,xsum,301.6,1.0,0.0,0.0
no_cache,GPT-2,raw,42,ag_news,16.16,1.0,0.0,0.0
no_cache,GPT-2,raw,42,alpaca_eval,19.12,1.0,0.0,0.0
no_cache,GPT-2,raw,42,banking77,14.66,1.0,0.0,0.0
no_cache,GPT-2,raw,42,cnn_dailymail,20.53,1.0,0.0,0.0
no_cache,GPT-2,raw,42,daily_dialog,14.73,1.0,0.0,0.0
no_cache,GPT-2,raw,42,dolly,18.88,1.0,0.0,0.0
no_cache,GPT-2,raw,42,oasst1,18.96,1.0,0.0,0.0
no_cache,GPT-2,raw,42,samsum,15.07,1.0,0.0,0.0
no_cache,GPT-2,raw,42,ultrachat,19.69,1.0,0.0,0.0
no_cache,GPT-2,raw,42,xsum,20.18,1.0,0.0,0.0
no_cache,GPT-2,raw,123,ag_news,16.54,1.0,0.0,0.0
no_cache,GPT-2,raw,123,alpaca_eval,16.95,1.0,0.0,0.0
no_cache,GPT-2,raw,123,banking77,16.69,1.0,0.0,0.0
no_cache,GPT-2,raw,123,cnn_dailymail,19.75,1.0,0.0,0.0
no_cache,GPT-2,raw,123,daily_dialog,15.42,1.0,0.0,0.0
no_cache,GPT-2,raw,123,dolly,18.47,1.0,0.0,0.0
no_cache,GPT-2,raw,123,oasst1,19.13,1.0,0.0,0.0
no_cache,GPT-2,raw,123,samsum,18.81,1.0,0.0,0.0
no_cache,GPT-2,raw,123,ultrachat,18.35,1.0,0.0,0.0
no_cache,GPT-2,raw,123,xsum,19.41,1.0,0.0,0.0
no_cache,GPT-2,raw,456,ag_news,16.12,1.0,0.0,0.0
no_cache,GPT-2,raw,456,alpaca_eval,18.14,1.0,0.0,0.0
no_cache,GPT-2,raw,456,banking77,15.07,1.0,0.0,0.0
no_cache,GPT-2,raw,456,cnn_dailymail,21.01,1.0,0.0,0.0
no_cache,GPT-2,raw,456,daily_dialog,14.59,1.0,0.0,0.0
no_cache,GPT-2,raw,456,dolly,19.44,1.0,0.0,0.0
no_cache,GPT-2,raw,456,oasst1,18.89,1.0,0.0,0.0
no_cache,GPT-2,raw,456,samsum,20.65,1.0,0.0,0.0
no_cache,GPT-2,raw,456,ultrachat,20.39,1.0,0.0,0.0
no_cache,GPT-2,raw,456,xsum,21.03,1.0,0.0,0.0
no_cache,GPT-2,templated,42,ag_news,19.23,1.0,0.0,0.0
no_cache,GPT-2,templated,42,alpaca_eval,14.95,1.0,0.0,0.0
no_cache,GPT-2,templated,42,banking77,18.0,1.0,0.0,0.0
no_cache,GPT-2,templated,42,cnn_dailymail,24.13,1.0,0.0,0.0
no_cache,GPT-2,templated,42,daily_dialog,20.22,1.0,0.0,0.0
no_cache,GPT-2,templated,42,dolly,18.38,1.0,0.0,0.0
no_cache,GPT-2,templated,42,oasst1,20.04,1.0,0.0,0.0
no_cache,GPT-2,templated,42,samsum,20.87,1.0,0.0,0.0
no_cache,GPT-2,templated,42,ultrachat,21.47,1.0,0.0,0.0
no_cache,GPT-2,templated,42,xsum,21.66,1.0,0.0,0.0
no_cache,GPT-2,templated,123,ag_news,19.15,1.0,0.0,0.0
no_cache,GPT-2,templated,123,alpaca_eval,15.91,1.0,0.0,0.0
no_cache,GPT-2,templated,123,banking77,18.94,1.0,0.0,0.0
no_cache,GPT-2,templated,123,cnn_dailymail,23.76,1.0,0.0,0.0
no_cache,GPT-2,templated,123,daily_dialog,19.48,1.0,0.0,0.0
no_cache,GPT-2,templated,123,dolly,19.03,1.0,0.0,0.0
no_cache,GPT-2,templated,123,oasst1,20.34,1.0,0.0,0.0
no_cache,GPT-2,templated,123,samsum,19.85,1.0,0.0,0.0
no_cache,GPT-2,templated,123,ultrachat,21.63,1.0,0.0,0.0
no_cache,GPT-2,templated,123,xsum,21.72,1.0,0.0,0.0
no_cache,GPT-2,templated,456,ag_news,16.78,1.0,0.0,0.0
no_cache,GPT-2,templated,456,alpaca_eval,21.04,1.0,0.0,0.0
no_cache,GPT-2,templated,456,banking77,20.32,1.0,0.0,0.0
no_cache,GPT-2,templated,456,cnn_dailymail,23.77,1.0,0.0,0.0
no_cache,GPT-2,templated,456,daily_dialog,19.72,1.0,0.0,0.0
no_cache,GPT-2,templated,456,dolly,18.68,1.0,0.0,0.0
no_cache,GPT-2,templated,456,oasst1,20.64,1.0,0.0,0.0
no_cache,GPT-2,templated,456,samsum,18.46,1.0,0.0,0.0
no_cache,GPT-2,templated,456,ultrachat,21.96,1.0,0.0,0.0
no_cache,GPT-2,templated,456,xsum,20.98,1.0,0.0,0.0
no_cache,GPT-2,semantic,42,ag_news,18.33,1.0,0.0,0.0
no_cache,GPT-2,semantic,42,alpaca_eval,17.18,1.0,0.0,0.0
no_cache,GPT-2,semantic,42,banking77,19.64,1.0,0.0,0.0
no_cache,GPT-2,semantic,42,cnn_dailymail,21.65,1.0,0.0,0.0
no_cache,GPT-2,semantic,42,daily_dialog,19.53,1.0,0.0,0.0
no_cache,GPT-2,semantic,42,dolly,19.63,1.0,0.0,0.0
no_cache,GPT-2,semantic,42,oasst1,18.43,1.0,0.0,0.0
no_cache,GPT-2,semantic,42,samsum,19.41,1.0,0.0,0.0
no_cache,GPT-2,semantic,42,ultrachat,18.74,1.0,0.0,0.0
no_cache,GPT-2,semantic,42,xsum,19.36,1.0,0.0,0.0
no_cache,GPT-2,semantic,123,ag_news,15.09,1.0,0.0,0.0
no_cache,GPT-2,semantic,123,alpaca_eval,16.51,1.0,0.0,0.0
no_cache,GPT-2,semantic,123,banking77,17.16,1.0,0.0,0.0
no_cache,GPT-2,semantic,123,cnn_dailymail,21.76,1.0,0.0,0.0
no_cache,GPT-2,semantic,123,daily_dialog,16.38,1.0,0.0,0.0
no_cache,GPT-2,semantic,123,dolly,14.12,1.0,0.0,0.0
no_cache,GPT-2,semantic,123,oasst1,19.4,1.0,0.0,0.0
no_cache,GPT-2,semantic,123,samsum,16.97,1.0,0.0,0.0
no_cache,GPT-2,semantic,123,ultrachat,19.8,1.0,0.0,0.0
no_cache,GPT-2,semantic,123,xsum,20.1,1.0,0.0,0.0
no_cache,GPT-2,semantic,456,ag_news,18.6,1.0,0.0,0.0
no_cache,GPT-2,semantic,456,alpaca_eval,18.85,1.0,0.0,0.0
no_cache,GPT-2,semantic,456,banking77,15.85,1.0,0.0,0.0
no_cache,GPT-2,semantic,456,cnn_dailymail,21.79,1.0,0.0,0.0
no_cache,GPT-2,semantic,456,daily_dialog,16.44,1.0,0.0,0.0
no_cache,GPT-2,semantic,456,dolly,16.35,1.0,0.0,0.0
no_cache,GPT-2,semantic,456,oasst1,17.92,1.0,0.0,0.0
no_cache,GPT-2,semantic,456,samsum,18.47,1.0,0.0,0.0
no_cache,GPT-2,semantic,456,ultrachat,19.71,1.0,0.0,0.0
no_cache,GPT-2,semantic,456,xsum,18.94,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,42,ag_news,55.73,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,42,alpaca_eval,47.46,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,42,banking77,48.93,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,42,cnn_dailymail,229.93,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,42,daily_dialog,67.7,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,42,dolly,70.68,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,42,oasst1,76.57,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,42,samsum,101.73,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,42,ultrachat,180.87,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,42,xsum,190.26,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,123,ag_news,60.24,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,123,alpaca_eval,56.09,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,123,banking77,48.65,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,123,cnn_dailymail,228.28,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,123,daily_dialog,68.68,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,123,dolly,72.05,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,123,oasst1,96.99,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,123,samsum,102.53,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,123,ultrachat,182.78,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,raw,123,xsum,193.1,1.0,0.0,0.0
