model,runtime,cells,mean_latency_ms,mean_p95_latency_ms,mean_throughput_rps,mean_gpu_energy_j,total_cache_evidence_tokens
google/gemma-4-E2B-it,vllm_apc,10,8.44656446058707,10.700605854799505,121.12923685294989,776.867,299136.0
google/gemma-4-E2B-it,sglang_radix_attention,10,21.202825628097344,23.397002232377417,47.331265497578386,1471.3952,325867
google/gemma-4-E2B-it,lmcache_vllm,10,11.00874818137072,13.657752978906501,93.27278097302404,1141.4382,13312.0
google/gemma-4-E4B-it,vllm_apc,10,12.238500398029828,14.643930208694655,83.41338793974536,1371.5072,299136.0
google/gemma-4-E4B-it,sglang_radix_attention,10,27.153346398699796,30.723823618609458,37.099448422909155,2413.152,325867
google/gemma-4-E4B-it,lmcache_vllm,10,15.426603893206448,19.097161295940168,66.60610622790598,1961.9378000000002,13312.0
google/gemma-4-12B-it,vllm_apc,10,24.823877140670447,31.217676447704434,41.65936664928029,3434.7054000000003,252480.0
google/gemma-4-12B-it,sglang_radix_attention,10,43.89694130877615,49.858291502459906,22.981740513057172,5452.4632,325867
google/gemma-4-12B-it,lmcache_vllm,10,29.728794376683254,36.731625073298346,34.5978865733578,4420.6659,13312.0
google/gemma-4-26B-A4B-it,vllm_apc,10,26.919740204039044,32.60010730300564,37.76384196330504,2964.9652,299136.0
google/gemma-4-26B-A4B-it,sglang_radix_attention,10,44.26981292003802,54.48767482448602,23.031102031020325,4104.3412,325867
google/gemma-4-26B-A4B-it,lmcache_vllm,10,32.93242989293503,37.19435063394485,30.58571987124032,4030.4023,13312.0
google/gemma-4-31B-it,vllm_apc,10,57.198680765986865,72.97546621412039,18.195836814873275,8176.7621,299072.0
google/gemma-4-31B-it,sglang_radix_attention,10,101.0260408622571,116.39410394709557,10.020245730229135,14039.5149,325797
google/gemma-4-31B-it,lmcache_vllm,10,70.75702593433562,91.79918843583437,14.737240177437096,10808.5428,13312.0
