model,dataset,mode,candidate,mean_latency_ratio_vs_vllm_apc,p95_latency_ratio_vs_vllm_apc,throughput_ratio_vs_vllm_apc,energy_ratio_vs_vllm_apc
google/gemma-4-12B-it,ag_news,rag,sglang_radix_attention,1.8734678384706953,1.7223522879725184,0.5337761691912958,1.6248023509207656
google/gemma-4-12B-it,ag_news,rag,lmcache_vllm,1.1681947430621167,1.1074747342591,0.8560230995879335,1.2882645538484696
google/gemma-4-12B-it,ag_news,templated,sglang_radix_attention,1.8880481077903586,1.7168905457422603,0.5296516560181262,1.6381298762245557
google/gemma-4-12B-it,ag_news,templated,lmcache_vllm,1.1687770185822002,1.0696053907866199,0.8555997965660826,1.2880851900800212
google/gemma-4-12B-it,daily_dialog,rag,sglang_radix_attention,1.9243939756672763,1.831940817091947,0.5196505192091763,1.768627772165952
google/gemma-4-12B-it,daily_dialog,rag,lmcache_vllm,1.246050918424992,1.36584280901812,0.8025387067341231,1.4599069953679689
google/gemma-4-12B-it,daily_dialog,templated,sglang_radix_attention,1.9419969100349317,1.8081962074249065,0.5149402836611464,1.850496928150081
google/gemma-4-12B-it,daily_dialog,templated,lmcache_vllm,1.2409682079245739,1.3152517094681613,0.8058260245465492,1.5015072339579048
google/gemma-4-12B-it,dolly,rag,sglang_radix_attention,1.8178959660312017,1.5138866352177132,0.5500944565937537,1.5610855514429742
google/gemma-4-12B-it,dolly,rag,lmcache_vllm,1.2007116875589379,1.136877104034294,0.8328471133278814,1.291700009408793
google/gemma-4-12B-it,dolly,templated,sglang_radix_attention,1.8216652763243268,1.5066554312396538,0.5489532330056264,1.616737289895203
google/gemma-4-12B-it,dolly,templated,lmcache_vllm,1.1495322212353445,1.1236190526843564,0.8699204396352544,1.212049745772988
google/gemma-4-12B-it,samsum,rag,sglang_radix_attention,1.8590464578450354,1.638144559102974,0.5379134024900545,1.6777271887797232
google/gemma-4-12B-it,samsum,rag,lmcache_vllm,1.28501900498281,1.3253883843468748,0.7782018763969741,1.3802243994315988
google/gemma-4-12B-it,samsum,templated,sglang_radix_attention,1.8807678196708646,1.633940235525353,0.5317021638317152,1.7345784044999613
google/gemma-4-12B-it,samsum,templated,lmcache_vllm,1.2734922171786764,1.3229565696738788,0.7852478072491631,1.3996326728675716
google/gemma-4-12B-it,xsum,rag,sglang_radix_attention,1.488408611591749,1.4372803835900003,0.6718621651251,1.3665854166498737
google/gemma-4-12B-it,xsum,rag,lmcache_vllm,1.144904244156815,1.0566750800727172,0.873436484160366,1.1424405335544823
google/gemma-4-12B-it,xsum,templated,sglang_radix_attention,1.5038883461406374,1.4316569925104436,0.6649443202995972,1.3894400948578005
google/gemma-4-12B-it,xsum,templated,lmcache_vllm,1.1484316575246325,1.0522699788073373,0.8707552381008467,1.1484145943508792
google/gemma-4-26B-A4B-it,ag_news,rag,sglang_radix_attention,1.5332530325452272,1.4895368667283309,0.6522197778073063,1.294394318212111
google/gemma-4-26B-A4B-it,ag_news,rag,lmcache_vllm,1.1862925240685915,1.1323329068430383,0.8429757554624983,1.3885056884335623
google/gemma-4-26B-A4B-it,ag_news,templated,sglang_radix_attention,1.597426961122593,1.5682767442387804,0.6260177424338367,1.3689035162073822
google/gemma-4-26B-A4B-it,ag_news,templated,lmcache_vllm,1.2328266367814793,1.1776287291763543,0.811157837879125,1.4536344018898446
google/gemma-4-26B-A4B-it,daily_dialog,rag,sglang_radix_attention,1.5997134649649958,1.7388817810932566,0.6251190930825246,1.3404598707327393
google/gemma-4-26B-A4B-it,daily_dialog,rag,lmcache_vllm,1.2725749105696222,1.1762252123892596,0.7858138922537037,1.4769186959214584
google/gemma-4-26B-A4B-it,daily_dialog,templated,sglang_radix_attention,1.7010906851629721,1.7875368138320873,0.5878652194545998,1.4668442529320525
google/gemma-4-26B-A4B-it,daily_dialog,templated,lmcache_vllm,1.3325719359509527,1.1967987735653063,0.7504362825674041,1.5716536510404548
google/gemma-4-26B-A4B-it,dolly,rag,sglang_radix_attention,1.6241704607958098,1.7282625353339718,0.6157104953436182,1.310701609010641
google/gemma-4-26B-A4B-it,dolly,rag,lmcache_vllm,1.249784089148001,1.130948272535067,0.8001488592861723,1.400715862815999
google/gemma-4-26B-A4B-it,dolly,templated,sglang_radix_attention,1.6406370661746155,1.7459751453336596,0.6095283133489663,1.3698995012696038
google/gemma-4-26B-A4B-it,dolly,templated,lmcache_vllm,1.267950414784775,1.121415966073377,0.7886823203945342,1.3972627267361484
google/gemma-4-26B-A4B-it,samsum,rag,sglang_radix_attention,1.650451891495588,1.685552052671808,0.6059025716364339,1.389543897614101
google/gemma-4-26B-A4B-it,samsum,rag,lmcache_vllm,1.2387052076150464,1.1303965208263014,0.8073025727878448,1.350154842710683
google/gemma-4-26B-A4B-it,samsum,templated,sglang_radix_attention,1.7452900207467388,1.6973169912811006,0.5729757060070895,1.4806019416789478
google/gemma-4-26B-A4B-it,samsum,templated,lmcache_vllm,1.2760746997370662,1.1491557813934814,0.7836583346709723,1.434847376400861
google/gemma-4-26B-A4B-it,xsum,rag,sglang_radix_attention,1.666676485766623,1.6262127301543137,0.6000026843107353,1.3995480199305737
google/gemma-4-26B-A4B-it,xsum,rag,lmcache_vllm,1.1240754901157943,1.1118746589507718,0.8896198203795619,1.1821106571894113
google/gemma-4-26B-A4B-it,xsum,templated,sglang_radix_attention,1.670672630927018,1.632091380438833,0.5985683928889454,1.4021417097216642
google/gemma-4-26B-A4B-it,xsum,templated,lmcache_vllm,1.1294994633637667,1.1052923132089514,0.8853528565425626,1.1766608666104796
google/gemma-4-31B-it,ag_news,rag,sglang_radix_attention,1.902588212189744,1.8552148040376697,0.5256114680414542,1.7590407232578607
google/gemma-4-31B-it,ag_news,rag,lmcache_vllm,1.192086315862517,1.1602927806022265,0.8388802668346638,1.2899732708543692
google/gemma-4-31B-it,ag_news,templated,sglang_radix_attention,1.9265768046102631,1.8740453386538272,0.519064028255102,1.8887725760244287
google/gemma-4-31B-it,ag_news,templated,lmcache_vllm,1.1992780953587614,1.159904972002848,0.8338454303429347,1.3652058403838334
google/gemma-4-31B-it,daily_dialog,rag,sglang_radix_attention,1.8859136721028842,1.7683306541221817,0.5302575582169989,1.8146653208314527
google/gemma-4-31B-it,daily_dialog,rag,lmcache_vllm,1.2571022048519123,1.4799797407573125,0.7954930924568284,1.3976027565773363
google/gemma-4-31B-it,daily_dialog,templated,sglang_radix_attention,1.9201582271965414,1.7797273000919396,0.5208012382242273,1.8814369827356328
google/gemma-4-31B-it,daily_dialog,templated,lmcache_vllm,1.2371885920613623,1.4462079078106265,0.8082967795822121,1.4202045938824888
google/gemma-4-31B-it,dolly,rag,sglang_radix_attention,1.8696603518882808,1.7225160620287094,0.5348644217475601,1.8363666873360225
google/gemma-4-31B-it,dolly,rag,lmcache_vllm,1.263282243742676,1.4455933002478687,0.791594012970384,1.412692136786484
google/gemma-4-31B-it,dolly,templated,sglang_radix_attention,1.8680850650230643,1.712247236033796,0.535315115835442,1.8162714551378645
google/gemma-4-31B-it,dolly,templated,lmcache_vllm,1.1667393328547222,1.4183787802317702,0.8570971943787282,1.2799210722400054
google/gemma-4-31B-it,samsum,rag,sglang_radix_attention,1.7937596781442469,1.4925089113788104,0.5574984251759868,1.7384663999473096
google/gemma-4-31B-it,samsum,rag,lmcache_vllm,1.3061180029827362,1.2975021715319526,0.7656404412190997,1.3678736570909278
google/gemma-4-31B-it,samsum,templated,sglang_radix_attention,1.8240198786781887,1.5050891939656292,0.5482509910886746,1.7792459080687717
google/gemma-4-31B-it,samsum,templated,lmcache_vllm,1.2993316241811899,1.3008294334901642,0.7696378470098746,1.3775662911612876
google/gemma-4-31B-it,xsum,rag,sglang_radix_attention,1.4919353846312104,1.382903849149654,0.6702812672111266,1.489753448132461
google/gemma-4-31B-it,xsum,rag,lmcache_vllm,1.2179449496754886,1.0675377580952348,0.821060446686519,1.2171402274535528
google/gemma-4-31B-it,xsum,templated,sglang_radix_attention,1.5213534805214777,1.3818653614711718,0.6573201918457309,1.5204056708271187
google/gemma-4-31B-it,xsum,templated,lmcache_vllm,1.2304780634964034,1.0648255029965192,0.8126982740957966,1.237360531709738
