model_slug,model_params_B,dataset,mode,engine,mean_latency_ms,latency_ci_95_lower,latency_ci_95_upper,throughput_rps,cached_tokens_mean,gpu_energy_j,speedup_vs_lmcache_pct
qwen25_14b,14.7,ag_news,rag,lmcache_no_native_radix,46.888302764576416,41.94931875522368,42.166122152526704,21.327354025231188,0.0,6758.948333333334,0.0
qwen25_14b,14.7,ag_news,templated,lmcache_no_native_radix,46.55427379733131,41.72628900564225,41.95036100042272,21.48040217288532,0.0,6704.974333333333,0.0
qwen25_14b,14.7,alpaca_eval,rag,lmcache_no_native_radix,52.1660779139656,52.1660779139656,52.1660779139656,19.17041346470912,1.5829276126428842,7559.200569196909,0.0
qwen25_14b,14.7,alpaca_eval,templated,lmcache_no_native_radix,51.45450713642664,51.45450713642664,51.45450713642664,19.434676947901508,3.1658552252857683,7438.490034277219,0.0
qwen25_14b,14.7,banking77,rag,lmcache_no_native_radix,44.6305897079234,44.6305897079234,44.6305897079234,22.406233913705467,0.0,6433.499020782434,0.0
qwen25_14b,14.7,banking77,templated,lmcache_no_native_radix,44.31264452951655,44.31264452951655,44.31264452951655,22.567024257990127,0.0,6382.123916398929,0.0
qwen25_14b,14.7,cnn_dailymail,rag,lmcache_no_native_radix,62.912340590424144,62.912340590424144,62.912340590424144,15.895531486798616,7.744411334260441,9538.676289113751,0.0
qwen25_14b,14.7,cnn_dailymail,templated,lmcache_no_native_radix,61.91209398038305,61.91209398038305,61.91209398038305,16.152494553626248,6.815081974149187,9381.15644096446,0.0
qwen25_14b,14.7,daily_dialog,rag,lmcache_no_native_radix,49.36557534938402,44.34013967417152,44.70336803021608,20.257246889646527,2.6666666666666665,7149.619,0.0
qwen25_14b,14.7,daily_dialog,templated,lmcache_no_native_radix,48.4580831104419,43.43504422303556,43.712491536506526,20.636477534740067,0.6666666666666666,7017.22,0.0
qwen25_14b,14.7,dolly,rag,lmcache_no_native_radix,49.1086138014604,44.042481353203584,44.69681482415558,20.363948501702804,1.3333333333333333,7116.154333333333,0.0
qwen25_14b,14.7,dolly,templated,lmcache_no_native_radix,48.438748327498615,43.74897882866246,44.02730993212115,20.64466482388945,2.6666666666666665,7002.518666666667,0.0
qwen25_14b,14.7,oasst1,rag,lmcache_no_native_radix,54.50816685081935,54.50816685081935,54.50816685081935,18.347044081716195,4.569443989438323,7996.564549364993,0.0
qwen25_14b,14.7,oasst1,templated,lmcache_no_native_radix,53.66254100500444,53.66254100500444,53.66254100500444,18.63586359270955,3.866452606447812,7874.070291651125,0.0
qwen25_14b,14.7,samsum,rag,lmcache_no_native_radix,53.49971505969128,48.21236847110377,49.12827089177965,18.692879745428968,4.333333333333333,7848.620666666667,0.0
qwen25_14b,14.7,samsum,templated,lmcache_no_native_radix,52.66973407863892,47.406753176763,48.22086256286596,18.98714340790704,3.6666666666666665,7728.392666666667,0.0
qwen25_14b,14.7,ultrachat,rag,lmcache_no_native_radix,56.68546619029265,56.68546619029265,56.68546619029265,17.641394080537207,3.94972654720442,8209.759194126986,0.0
qwen25_14b,14.7,ultrachat,templated,lmcache_no_native_radix,55.64341167630331,55.64341167630331,55.64341167630331,17.97165402622266,0.9874316368011048,8057.728168761409,0.0
qwen25_14b,14.7,xsum,rag,lmcache_no_native_radix,64.55643637248916,59.17856710573401,60.04053116023032,15.490710871851164,8.333333333333334,9787.951666666666,0.0
qwen25_14b,14.7,xsum,templated,lmcache_no_native_radix,63.53005019718694,57.94603482108949,59.03089015467285,15.741129712912056,7.333333333333333,9626.315333333334,0.0
qwen25_15b,1.54,ag_news,rag,lmcache_no_native_radix,10.869866195662324,9.950653620114554,10.106342780172278,92.00019358674288,0.0,893.3423333333334,0.0
qwen25_15b,1.54,ag_news,templated,lmcache_no_native_radix,10.869648361979976,9.978330065500447,10.105539063031614,92.00459909336796,0.0,888.9456666666666,0.0
qwen25_15b,1.54,alpaca_eval,rag,lmcache_no_native_radix,12.537539321974156,12.537539321974156,12.537539321974156,79.76174091369107,1.5829276126428842,1019.5613589490516,0.0
qwen25_15b,1.54,alpaca_eval,templated,lmcache_no_native_radix,12.435584755191371,12.435584755191371,12.435584755191371,80.42572835473659,3.1658552252857683,1021.1650162885936,0.0
qwen25_15b,1.54,banking77,rag,lmcache_no_native_radix,10.346472568956806,10.346472568956806,10.346472568956806,96.6541773148252,0.0,850.3271135213829,0.0
qwen25_15b,1.54,banking77,templated,lmcache_no_native_radix,10.346265224158032,10.346265224158032,10.346265224158032,96.65880568137426,0.0,846.1421502253611,0.0
qwen25_15b,1.54,cnn_dailymail,rag,lmcache_no_native_radix,14.44178124474581,14.44178124474581,14.44178124474581,69.24761031063115,7.744411334260441,1291.6014242501565,0.0
qwen25_15b,1.54,cnn_dailymail,templated,lmcache_no_native_radix,14.379868633506456,14.379868633506456,14.379868633506456,69.54973089141642,6.815081974149187,1274.5526291351568,0.0
qwen25_15b,1.54,daily_dialog,rag,lmcache_no_native_radix,11.765383106497517,10.853396245587778,11.067620569798972,85.00128253336455,2.6666666666666665,970.5896666666667,0.0
qwen25_15b,1.54,daily_dialog,templated,lmcache_no_native_radix,11.596085912515264,10.692382660322792,10.817558201134128,86.23620382666832,0.3333333333333333,953.5863333333332,0.0
qwen25_15b,1.54,dolly,rag,lmcache_no_native_radix,11.80271167019479,10.866586818267852,11.075137574767046,84.72764488688154,1.3333333333333333,959.8046666666664,0.0
qwen25_15b,1.54,dolly,templated,lmcache_no_native_radix,11.706732680674271,10.751851042274758,11.001286785613916,85.43297166974514,2.6666666666666665,961.3143333333334,0.0
