model_slug,model_params_B,dataset,mode,engine,mean_latency_ms,latency_ci_95_lower,latency_ci_95_upper,throughput_rps,cached_tokens_mean,gpu_energy_j,speedup_vs_no_cache_pct
qwen25_14b,14.7,ag_news,rag,vllm_apc,24.88085502499238,24.88085502499238,24.88085502499238,40.191544824143605,0,3319.1500010511827,14.818189299855897
qwen25_14b,14.7,ag_news,rag,vllm_apc_shadowkv_plus,24.95147806347396,24.95147806347396,24.95147806347396,40.07778607167496,0,3333.340446000416,14.576405073029116
qwen25_14b,14.7,ag_news,rag,vllm_no_cache,29.20911732268481,29.20911732268481,29.20911732268481,34.23588562956557,0,4470.904724453642,0.0
qwen25_14b,14.7,ag_news,templated,vllm_apc,24.958661746340717,24.958661746340717,24.958661746340717,40.06625075347294,0,3319.904534838065,12.88280254524393
qwen25_14b,14.7,ag_news,templated,vllm_apc_shadowkv_plus,24.831104895715736,24.831104895715736,24.831104895715736,40.27207021998189,0,3331.488892084101,13.328034563512384
qwen25_14b,14.7,ag_news,templated,vllm_no_cache,28.649523257796357,28.649523257796357,28.649523257796357,34.90459478162072,0,4369.7074071245415,0.0
qwen25_14b,14.7,alpaca_eval,rag,vllm_apc,29.82050035406228,29.82050035406228,29.82050035406228,33.53397790536321,0,4003.293538416965,17.500303391912446
qwen25_14b,14.7,alpaca_eval,rag,vllm_apc_shadowkv_plus,29.721452239093832,29.721452239093832,29.721452239093832,33.645731438541866,0,4048.896963849851,17.774324261363965
qwen25_14b,14.7,alpaca_eval,rag,vllm_no_cache,36.1461939620502,36.1461939620502,36.1461939620502,27.66543003254776,0,5521.813546108892,0.0
qwen25_14b,14.7,alpaca_eval,templated,vllm_apc,29.38821311158303,29.38821311158303,29.38821311158303,34.02724746152945,0,3906.605023521116,13.282381568242
qwen25_14b,14.7,alpaca_eval,templated,vllm_apc_shadowkv_plus,29.383641166502112,29.383641166502112,29.383641166502112,34.032541928126264,0,3946.7219088729935,13.29587228942034
qwen25_14b,14.7,alpaca_eval,templated,vllm_no_cache,33.88955283027052,33.88955283027052,33.88955283027052,29.507618616519167,0,5106.356770019668,0.0
qwen25_14b,14.7,banking77,rag,vllm_apc,21.89971325769934,21.89971325769934,21.89971325769934,45.66269833000791,0,2921.46042446287,14.818189299855906
qwen25_14b,14.7,banking77,rag,vllm_apc_shadowkv_plus,21.96187447726276,21.96187447726276,21.96187447726276,45.53345394243579,0,2933.9506172265515,14.57640507302912
qwen25_14b,14.7,banking77,rag,vllm_no_cache,25.70937748058729,25.70937748058729,25.70937748058729,38.89631325204521,0,3935.215705797797,0.0
qwen25_14b,14.7,banking77,templated,vllm_apc,21.96819743500509,21.96819743500509,21.96819743500509,45.52034835623592,0,2922.124552506676,12.88280254524393
qwen25_14b,14.7,banking77,templated,vllm_apc_shadowkv_plus,21.85592402438732,21.85592402438732,21.85592402438732,45.754185404569405,0,2932.32091037734,13.328034563512386
qwen25_14b,14.7,banking77,templated,vllm_no_cache,25.21683212595788,25.21683212595788,25.21683212595788,39.656051759594845,0,3846.14351636823,0.0
qwen25_14b,14.7,cnn_dailymail,rag,vllm_apc,33.88103969055697,33.88103969055697,33.88103969055697,29.51503286596932,0,5119.682862580279,21.82899769196712
qwen25_14b,14.7,cnn_dailymail,rag,vllm_apc_shadowkv_plus,33.67648506469356,33.67648506469356,33.67648506469356,29.694310379452297,0,5177.426440236975,22.300950154953192
qwen25_14b,14.7,cnn_dailymail,rag,vllm_no_cache,43.34220963043138,43.34220963043138,43.34220963043138,23.072197022873542,0,6658.441400011439,0.0
qwen25_14b,14.7,cnn_dailymail,templated,vllm_apc,33.977102218577336,33.977102218577336,33.977102218577336,29.43158582409184,0,5104.529715156758,20.14332226122826
qwen25_14b,14.7,cnn_dailymail,templated,vllm_apc_shadowkv_plus,33.80742919623319,33.80742919623319,33.80742919623319,29.57929732531747,0,5195.00891251578,20.542106235774853
qwen25_14b,14.7,cnn_dailymail,templated,vllm_no_cache,42.54760300663108,42.54760300663108,42.54760300663108,23.503086644955044,0,6515.288599269742,0.0
qwen25_14b,14.7,daily_dialog,rag,vllm_apc,24.742422716920643,24.742422716920643,24.742422716920643,40.41641400444298,0,3334.043231398206,19.89835212168464
qwen25_14b,14.7,daily_dialog,rag,vllm_apc_shadowkv_plus,24.894649738517472,24.894649738517472,24.894649738517472,40.16927373968154,0,3345.417305791214,19.405529109927787
