gpu,model,model_params_B,dataset,mode,seed,engine,requests_seen,mean_latency_ms,wasted_compute_ms,gpu_tdp_w,estimated_gpu_energy_j,estimated_waste_energy_j,estimated_joules_per_request,calibration_source
p100,Qwen/Qwen2.5-1.5B-Instruct,1.54,ag_news,raw,123,no_cache,32,64.9816,0.0,250,617.34,0.0,19.2919,estimated
p100,Qwen/Qwen2.5-1.5B-Instruct,1.54,ag_news,raw,123,reactive_prefix_cache,32,56.7242,0.0,250,534.0,0.0,16.6874,estimated
p100,Qwen/Qwen2.5-1.5B-Instruct,1.54,ag_news,raw,123,greedy_prefix_cache,32,65.2342,0.0,250,577.59,0.0,18.0497,estimated
p100,Qwen/Qwen2.5-1.5B-Instruct,1.54,ag_news,raw,123,strict_reactive_prefix_cache,32,60.1824,0.0,250,516.24,0.0,16.1326,estimated
p100,Qwen/Qwen2.5-1.5B-Instruct,1.54,ag_news,raw,123,frequency_speculative,32,61.6961,612.96,250,707.77,160.66,22.1179,estimated
p100,Qwen/Qwen2.5-1.5B-Instruct,1.54,ag_news,raw,123,shadow_kv,32,56.4662,69.98,250,528.06,18.34,16.502,estimated
p100,Qwen/Qwen2.5-1.5B-Instruct,1.54,ag_news,raw,123,shadow_kv_plus,32,57.3607,0.0,250,621.49,86.6,19.4216,estimated
p100,Qwen/Qwen2.5-1.5B-Instruct,1.54,ag_news,raw,123,shadow_kv_plus_best_latency,32,65.8693,101.17,250,639.0,26.52,19.9688,estimated
p100,Qwen/Qwen2.5-1.5B-Instruct,1.54,ag_news,raw,123,shadow_kv_plus_raw_observer,32,60.2708,0.0,250,613.51,93.34,19.1722,estimated
p100,Qwen/Qwen2.5-1.5B-Instruct,1.54,alpaca_eval,raw,123,no_cache,32,63.621,0.0,250,599.65,0.0,18.739,estimated
p100,Qwen/Qwen2.5-1.5B-Instruct,1.54,alpaca_eval,raw,123,reactive_prefix_cache,32,63.1724,0.0,250,552.82,0.0,17.2756,estimated
